,,,,,INFORMACIÓN DEL CLIENTE,,,,,,,,,,,,,
ESTADO DE LA OPERACIÓN,,,,,,,Permanencia,,,,,,,,,,,
Identificación,,Días de,Estado de,,Actividad,Saldo de la,en la,Número de,Monto del,Tasa de,Ingreso,,Frecuencia,Dependencia,Tipo de,Profesión del,Bienes,
del crédito,Saldo vigente,atraso,crédito,,económica,cuota,vivienda,cuotas,crédito,interés,mensual,Sexo,de pago,ocupacional,cuota,cliente,raíces,Automóviles
172,"29252,69 ",0,0,,3,291.71,120,36,52500,21,"4965,49",2,1,2,2,4,0,0
173,"649,91 ",0,0,,8,115.56,60,36,3000,"16,05","344,33",1,1,1,2,5,0,0
174,"22235,36 ",0,0,,9,185.36,18,36,36000,16,"2133,04",2,1,1,2,2,0,0
175,"28532,05 ",0,0,,10,226.11,36,36,42000,"19,5","642,00",2,1,2,2,5,0,1
176,"2452,73 ",0,0,,10,122.59,120,36,23000,"14,43","492,96",2,1,1,2,3,0,1
177,"875,14 ",0,0,,10,43.99,36,36,8000,"15,96","135,64",1,1,1,2,3,0,0
178,"29839,87 ",0,0,,6,207.82,288,36,35000,"25,5","804,30",1,1,2,2,4,0,0
179,"15329,90 ",0,0,,6,273.71,72,24,35000,"24,5","1404,65",2,1,2,2,4,0,0
180,"15329,90 ",0,0,,6,273.71,240,24,35000,"24,5","3168,07",2,1,2,2,4,0,0
181,"16423,85 ",0,0,,10,139.69,12,37,25000,"21,6","204,78",1,1,1,2,3,0,0
182,"99823,02 ",0,0,,6,891.42,60,20,103400,19,"3896,82",2,1,2,2,4,0,0
183,"14090,59 ",0,0,,10,83.55,127,36,15000,22,"359,00",2,1,1,2,3,0,0
184,"7526,16 ",0,0,,6,286.62,60,24,37000,23,"728,03",1,1,2,2,4,0,0
185,"206000,00 ",0,0,,6,770.33,240,60,206000,18,"1257,03",2,1,2,2,4,0,0
186,"16100,00 ",0,0,,10,98.28,228,36,16100,"27,5","431,00",2,1,1,2,3,0,0
187,"57715,30 ",0,0,,6,312.76,276,48,70000,20,"1609,42",1,1,2,2,4,0,0
188,"57715,30 ",0,0,,6,312.76,240,48,70000,20,"1428,50",1,1,2,2,4,0,0
189,"1231,49 ",0,0,,6,137.99,36,36,3500,"21,18","383,46",1,1,2,2,2,0,1
190,"771,76 ",0,0,,7,23.92,60,24,3000,26,"569,00",2,1,2,2,4,0,0
191,"13172,96 ",0,0,,6,96.91,60,36,16500,"25,5","959,34",2,1,2,2,4,0,0
192,"18000,00 ",0,0,,10,109.59,72,36,18000,"27,5","439,00",1,1,1,2,3,0,0
193,"968,65 ",0,0,,10,91.82,12,36,2300,"21,37","103,92",1,1,1,2,3,0,0
194,"968,65 ",0,0,,10,91.82,12,36,2300,"21,37","234,63",1,1,1,2,3,0,0
195,"13139,93 ",0,0,,10,88.87,276,36,14000,31,"427,29",1,1,1,2,3,0,0
196,"56092,82 ",0,0,,6,353.61,220,48,80800,19,"3547,08",2,1,2,2,4,0,0
197,"56092,82 ",0,0,,6,353.61,240,48,80800,19,"831,30",2,1,2,2,4,0,0
198,"18995,78 ",0,0,,10,200.94,300,18,21000,22,"236,41",2,1,1,2,3,0,0
199,"18995,78 ",0,0,,10,200.94,120,18,21000,22,"192,86",2,1,1,2,3,0,0
200,"45102,73 ",0,0,,6,290.97,24,48,64000,21,"773,60",2,1,2,2,4,0,0
201,"2059,09 ",442,1,,8,0,3,24,3000,"19,18","549,00",2,1,2,2,5,0,1
202,"40000,00 ",0,0,,6,213.76,36,36,40000,19,"930,41",2,1,2,2,4,0,0
203,"21000,00 ",0,0,,6,124.78,120,36,21000,"25,5","305,32",2,1,2,2,4,0,0
204,"21000,00 ",0,0,,6,124.78,133,36,21000,"25,5","336,55",2,1,2,2,4,0,0
205,"36637,89 ",0,0,,6,162.75,288,60,42000,20,"691,52",2,1,2,2,4,0,0
206,"36637,89 ",0,0,,6,162.75,96,60,42000,20,"317,36",2,1,2,2,4,0,0
207,"923,63 ",0,0,,8,82.54,372,36,2000,"23,34","716,21",1,1,2,2,5,0,1
208,"5013,22 ",49,1,,6,128.14,12,36,24000,"15,95","771,12",1,1,2,2,4,0,0
209,"3342,40 ",49,1,,6,85.43,12,36,16000,"14,68","771,12",1,1,2,2,4,0,0
210,"2452,73 ",0,0,,10,122.59,84,36,23000,"14,43","492,96",1,1,1,2,3,0,1
211,"29920,54 ",0,0,,6,2347.62,108,8,103000,21,"21146,21",2,3,2,2,4,0,0
212,"55383,62 ",0,0,,6,395.31,108,36,70000,"21,6","21146,21",2,1,2,2,4,0,0
213,"22370,81 ",0,0,,8,148.22,240,36,25000,"25,5","451,00",1,1,2,2,4,0,1
214,"282,08 ",0,0,,6,287.42,60,24,5500,"19,49","3057,82",2,1,2,2,4,0,0
215,"953,74 ",0,0,,10,47.65,48,36,9000,"13,44","129,90",1,1,1,2,3,0,0
216,"25493,37 ",0,0,,8,214.62,348,24,28000,22,"548,00",1,1,2,2,5,0,1
217,"158,65 ",0,0,,6,23.39,300,36,4400,"18,5","542,00",1,1,2,2,4,0,0
218,"2965,39 ",233,1,,6,93.57,300,36,17600,"16,24","542,00",1,1,2,2,4,0,0
219,"7000,00 ",0,0,,3,71.16,28,18,7000,29,"777,14",2,1,2,2,3,0,0
220,"57829,94 ",0,0,,6,379.04,48,36,69700,20,"1954,75",2,1,2,2,4,0,0
221,"32699,66 ",0,0,,8,212.1,60,36,35000,"27,5","463,00",2,1,2,2,4,0,1
222,"102800,94 ",0,0,,6,454.94,24,48,103000,19,"1608,59",1,1,2,2,4,0,1
223,"621,73 ",0,0,,10,109.35,240,36,3000,"12,23","313,83",1,1,1,2,3,0,0
224,"12781,85 ",0,0,,10,95.44,12,36,15000,32,"372,00",1,1,1,2,3,0,0
225,"12781,85 ",0,0,,10,95.44,12,36,15000,32,"165,00",1,1,1,2,3,0,0
226,"1321,17 ",16,0,,10,115.39,12,36,3000,"19,31","414,00",1,1,1,2,3,0,0
